k (Fourier mode),DGQG Convergence Spectrum
0.001,1000.0
0.04021176470588236,0.6184345363290273
0.07942352941176471,0.1585264139343862
0.11863529411764706,0.07105132436915078
0.15784705882352942,0.04013534605270316
0.1970588235294118,0.025751837825796386
0.23627058823529412,0.017913509356922642
0.2754823529411765,0.013176875196458543
0.31469411764705885,0.010097706653448514
0.3539058823529412,0.00798407186834279
0.39311764705882357,0.006470754462430429
0.4323294117647059,0.005350205161744054
0.47154117647058824,0.004497392119796264
0.5107529411764706,0.0038333480028089244
0.549964705882353,0.003306209436697009
0.5891764705882353,0.002880774147944758
0.6283882352941177,0.002532467664684354
0.6676000000000001,0.002243713205347145
0.7068117647058824,0.002001669910230307
0.7460235294117648,0.0017967801850287378
0.7852352941176471,0.001621811503852439
0.8244470588235294,0.0014712092742628217
0.8636588235294118,0.0013406504902719596
0.9028705882352942,0.0012267300065441536
0.9420823529411765,0.0011267362389245762
0.9812941176470589,0.0010384883025468146
1.0205058823529412,0.0009602160815727041
1.0597176470588234,0.0008904707674742963
1.098929411764706,0.0008280573301431891
1.1381411764705882,0.0007719829850240203
1.1773529411764705,0.0007214174680006734
1.216564705882353,0.0006756621242680427
1.2557764705882353,0.0006341256450537473
1.2949882352941176,0.0005963048670577561
1.3342,0.0005617694623513454
1.3734117647058823,0.0005301496432302027
1.4126235294117646,0.0005011262220893999
1.4518352941176471,0.00047442252455721234
1.4910470588235294,0.0004497977712675575
1.5302588235294117,0.00042704163117636467
1.5694705882352942,0.0004059697152688979
1.6086823529411765,0.00038641982957658173
1.6478941176470587,0.00036824884472573603
1.6871058823529412,0.0003513300687489836
1.7263176470588235,0.00033555103277462233
1.7655294117647058,0.00032081161706953853
1.8047411764705883,0.000307022458934537
1.8439529411764706,0.0002941035950249108
1.8831647058823529,0.0002819832994619294
1.9223764705882354,0.00027059708611910173
1.9615882352941176,0.00025988684909676135
2.0008000000000004,0.0002498001199360319
2.0400117647058824,0.00024028942379719328
2.079223529411765,0.00023131171981527135
2.118435294117647,0.0002228279132857113
2.1576470588235295,0.00021480242933371704
2.196858823529412,0.00020720283936773618
2.236070588235294,0.0001999995329782532
2.2752823529411765,0.00019316542907131832
2.314494117647059,0.00018667572096501208
2.353705882352941,0.0001805076509607549
2.3929176470588236,0.0001746403105577384
2.432129411764706,0.00016905446303017147
2.471341176470588,0.00016373238555166713
2.5105529411764707,0.00015865772844374384
2.549764705882353,0.00015381538945814975
2.588976470588235,0.00014919140128544827
2.6281882352941177,0.00014477283072317508
2.6674,0.00014054768814260264
2.7066117647058823,0.00013650484606929068
2.7458235294117648,0.00013263396584377342
2.7850352941176473,0.0001289254314587761
2.8242470588235293,0.00012537028978146442
2.863458823529412,0.00012196019646610148
2.9026705882352943,0.00011868736694635787
2.9418823529411764,0.00011554453196928971
2.981094117647059,0.00011252489719626144
3.0203058823529414,0.00010962210645119375
3.0595176470588235,0.00010683020824460208
3.098729411764706,0.00010414362524393403
3.1379411764705885,0.00010155712639753388
3.1771529411764705,9.906580145186793e-05
3.216364705882353,9.666503763003525e-05
3.2555764705882355,9.435049826458172e-05
3.2947882352941176,9.211810319967027e-05
3.334,8.996401079712072e-05
3.3732117647058826,8.788460139804423e-05
3.4124235294117646,8.587646210704137e-05
3.451635294117647,8.393637277945657e-05
3.4908470588235296,8.206129310419463e-05
3.5300588235294117,8.024835068529028e-05
3.569270588235294,7.84948300349405e-05
3.6084823529411767,7.679816239919997e-05
3.6476941176470588,7.515591634512086e-05
3.6869058823529413,7.356578904489936e-05
3.7261176470588238,7.20255981986618e-05
3.765329411764706,7.05332745429642e-05
3.8045411764705883,6.908685489696326e-05
3.843752941176471,6.768447570260532e-05
3.8829647058823533,6.632436701912593e-05
3.9221764705882354,6.500484693570847e-05
3.961388235294118,6.37243163693539e-05
4.0006,6.24812542179064e-05
4.039811764705883,6.127421284079165e-05
4.079023529411765,6.010181384238804e-05
4.118235294117648,5.896274413508905e-05
4.15744705882353,5.7855752261053926e-05
4.196658823529412,5.677964495340118e-05
4.2358705882352945,5.5733283919195334e-05
4.275082352941177,5.471558282802804e-05
4.3142941176470595,5.3725504491312825e-05
4.353505882352942,5.276205821861425e-05
4.3927176470588245,5.182429733842592e-05
4.431929411764706,5.0911316871809615e-05
4.471141176470589,5.002225134821805e-05
4.510352941176471,4.915627275365623e-05
4.549564705882354,4.831258860209576e-05
4.588776470588236,4.749044012175317e-05
4.627988235294119,4.6689100548479536e-05
4.6672,4.590787351909279e-05
4.706411764705883,4.514609155801922e-05
4.745623529411765,4.440311465110211e-05
4.784835294117648,4.367832890088626e-05
4.82404705882353,4.297114525810201e-05
4.863258823529413,4.228099832445377e-05
4.902470588235294,4.160734522216874e-05
4.941682352941177,4.094966452608496e-05
4.980894117647059,4.0307455254355724e-05
5.020105882352942,3.968023591412174e-05
5.059317647058824,3.906754359875643e-05
5.098529411764707,3.846893313352337e-05
5.137741176470589,3.788397626670149e-05
5.176952941176471,3.731226090343333e-05
5.2161647058823535,3.6753390379736836e-05
5.255376470588236,3.620698277429243e-05
5.2945882352941185,3.56726702557754e-05
5.333800000000001,3.515009846365091e-05
5.3730117647058835,3.463892592048535e-05
5.412223529411765,3.41388234739537e-05
5.451435294117648,3.3649473766840404e-05
5.49064705882353,3.3170570733440315e-05
5.529858823529413,3.270181912086724e-05
5.569070588235295,3.224293403387215e-05
5.608282352941178,3.179364050186072e-05
