X Position,Y Position,Shear Power Spectrum (Observed),Residual from GR Model,Residual from DGQG Model
-5.0,-5.0,604180522.1517562,600626012.493474,600624560.2183976
-4.96078431372549,-5.0,601005069.3764167,598170838.6429234,598169739.9678392
-4.921568627450981,-5.0,591564006.5352662,590090145.541363,590089703.4475038
-4.882352941176471,-5.0,576109208.1747901,575570529.7087318,575570495.7668056
-4.8431372549019605,-5.0,555049275.5000165,554894366.2076881,554894438.4856768
-4.803921568627451,-5.0,528934062.36676824,528894557.1294712,528894614.0868066
-4.764705882352941,-5.0,498433649.75608975,498423906.81209034,498423935.2458504
-4.7254901960784315,-5.0,464313256.6504063,464310839.3899984,464310850.99934244
-4.686274509803922,-5.0,427405092.9007745,427404484.02971745,427404488.2360407
-4.647058823529412,-5.0,388578580.208124,388578424.6725505,388578426.07963765
-4.607843137254902,-5.0,348710229.59553,348710189.4058555,348710189.8514332
-4.568627450980392,-5.0,308654549.8242214,308654539.3409696,308654539.4769815
-4.529411764705882,-5.0,269217178.69335943,269217175.93767226,269217175.97822815
-4.490196078431373,-5.0,231131324.1097147,231131323.38046092,231131323.3923866
-4.450980392156863,-5.0,195038347.49849993,195038347.30447048,195038347.3079492
-4.411764705882353,-5.0,161473106.759114,161473106.7072165,161473106.70822695
-4.372549019607844,-5.0,130854387.02764437,130854387.01371408,130854387.0140067
-4.333333333333333,-5.0,103480497.9548741,103480497.95111623,103480497.95120089
-4.294117647058823,-5.0,79529848.37173888,79529848.370724,79529848.37074843
-4.254901960784314,-5.0,59066092.77687985,59066092.77660389,59066092.77661095
-4.215686274509804,-5.0,42047247.3443455,42047247.344270766,42047247.3442728
-4.176470588235294,-5.0,28338037.012257554,28338037.012237027,28338037.012237612
-4.137254901960784,-5.0,17724638.950863834,17724638.9508583,17724638.950858466
-4.098039215686274,-5.0,9930951.634658158,9930951.634656606,9930951.634656655
-4.0588235294117645,-5.0,4635525.939620199,4635525.939619791,4635525.939619804
-4.019607843137255,-5.0,1488351.029009605,1488351.0290094845,1488351.0290094886
-3.980392156862745,-5.0,126777.78154464276,126777.78154461364,126777.78154461473
-3.9411764705882355,-5.0,189983.04825378006,189983.04825377,189983.04825377034
-3.9019607843137254,-5.0,1331515.3159274668,1331515.315927465,1331515.3159274652
-3.8627450980392157,-5.0,3229609.1411588886,3229609.1411588877,3229609.1411588877
-3.8235294117647056,-5.0,5595101.264839971,5595101.264839971,5595101.264839971
